,Name,Sex,Color,C_ID,Generation,Favorite_Song,E_ID,PH_Name,PH_ID,PR_ID
922,Dashawn,Rooster,Black&White,553394192,Gen1,For Whom The Bell Tolls,553394192,Pat,631311759,800981516
1376,Easton,Rooster,Black&White,773595312,Gen1,THE BITCH IS BACK,773595312,Barb,397591248,800981516
1046,Nigel,Rooster,Black&White,862253912,Gen1,Carpet Crawlers,862253912,Pat,631311759,800981516
1968,Kamron,Rooster,Black&White,762431730,Gen1,Amie,762431730,Liz,630559425,800981516
1385,Roy,Rooster,Black&White,472295211,Gen1,Itchycoo Park,472295211,Barb,397591248,800981516
1287,Tristin,Rooster,Black&White,628855526,Gen1,Ramble On,628855526,Barb,397591248,800981516
760,Rogelio,Rooster,Black&White,767163035,Gen1,Foolin',767163035,Pat,631311759,800981516
833,Marques,Rooster,Black&White,334058719,Gen1,Sympathy For The Devil,334058719,Pat,631311759,800981516
1759,Braydon,Rooster,Black&White,797726697,Gen1,Conquistador,797726697,Liz,630559425,800981516
13,Garrison,Rooster,Black&White,550261202,Gen1,We've Got Tonite,550261202,Mary,225766667,800981516
1762,Warren,Rooster,Black&White,823242036,Gen1,Godzilla,823242036,Liz,630559425,800981516
1172,Derrick,Rooster,Black&White,473017162,Gen1,P.s. I Love You,473017162,Pat,631311759,800981516
930,Deonte,Rooster,Black&White,457028849,Gen1,And the Cradle Will Rock...,457028849,Pat,631311759,800981516
1259,Gaige,Rooster,Black&White,789856705,Gen1,Great White Buffalo,789856705,Barb,397591248,800981516
1271,Glenn,Rooster,Black&White,536339090,Gen1,Let It Be,536339090,Barb,397591248,800981516
914,Levi,Rooster,Black&White,854600776,Gen1,Let It Rain,854600776,Pat,631311759,800981516
73,Samir,Rooster,Black&White,443353346,Gen1,Heaven's On Fire,443353346,Mary,225766667,800981516
526,Zechariah,Rooster,Black&White,70708035,Gen1,Night Moves,70708035,Mary,225766667,800981516
261,Tobias,Rooster,Black&White,521167154,Gen1,Do You Feel Like We Do,521167154,Mary,225766667,800981516
684,Douglas,Rooster,Black&White,197873604,Gen1,Tainted Love,197873604,Pat,631311759,800981516
1409,Vincent,Rooster,Black&White,787976750,Gen1,Hello It's Me,787976750,Barb,397591248,800981516
1023,Bernard,Rooster,Black&White,102634120,Gen1,Take It Easy,102634120,Pat,631311759,800981516
2105,Landon,Rooster,Black&White,879147425,Gen1,(Oh) Pretty Woman,879147425,Liz,630559425,800981516
816,Jeremiah,Rooster,Black&White,509012901,Gen1,Easy Livin',509012901,Pat,631311759,800981516
1290,Kane,Rooster,Black&White,518692123,Gen1,Strike up the Band,518692123,Barb,397591248,800981516
1885,Steven,Rooster,Black&White,775121405,Gen1,Bad Reputation,775121405,Liz,630559425,800981516
659,Allan,Rooster,Black&White,30363405,Gen1,Green River,30363405,Pat,631311759,800981516
1456,Muhammad,Rooster,Black&White,967323615,Gen1,You Better Run,967323615,Barb,397591248,800981516
201,Tommy,Rooster,Black&White,955524027,Gen1,Good Times Bad Times,955524027,Mary,225766667,800981516
1891,Simeon,Rooster,Black&White,171198057,Gen1,Jean Genie,171198057,Liz,630559425,800981516
35,Vincenzo,Rooster,Black&White,542838249,Gen1,Dance Little Sister,542838249,Mary,225766667,800981516
964,Eli,Rooster,Black&White,287055622,Gen1,Come Together,287055622,Pat,631311759,800981516
2002,Miguel,Rooster,Black&White,216432846,Gen1,Friday on My Mind,216432846,Liz,630559425,800981516
663,Kellen,Rooster,Black&White,409300483,Gen1,IT'S TOO LATE,409300483,Pat,631311759,800981516
1103,LINNEA,Hen,Black&White,870011705.0,Gen2,Wicked Sensation,870011705.0,SHAROLYN,59922539.0,773595312.0
7127,SHARICE,Hen,Black&White,221747441.0,Gen2,The Journey/It's Easy,221747441.0,PENELOPE,525986311.0,473017162.0
12599,EARLIE,Hen,Black&White,263729520.0,Gen2,Travelin' Man,263729520.0,BARBRA,832570811.0,14586865.0
6072,GITA,Hen,Black&White,928521689.0,Gen2,Fire Down Below,928521689.0,ALEXANDRA,102582398.0,967323615.0
23289,JERLENE,Hen,Black&White,992321108.0,Gen2,Houseparty,992321108.0,JANETTE,428335380.0,119329546.0
7807,ANASTACIA,Hen,Black&White,307281710.0,Gen2,Can't Stand Losing You,307281710.0,BARBIE,238196972.0,773595312.0
15126,ULRIKE,Hen,Black&White,566239215.0,Gen2,Handle with Care,566239215.0,AI,734213689.0,70708035.0
14867,VAN,Hen,Black&White,312474283.0,Gen2,Dangerious Type,312474283.0,RUBIE,733533272.0,967323615.0
8981,LAVERNE,Hen,Black&White,73060891.0,Gen2,Hold The Line,73060891.0,SONG,38690046.0,800981516.0
18823,MANDIE,Hen,Black&White,282876868.0,Gen2,Mistral Wind,282876868.0,ILIANA,598175413.0,457028849.0
15301,RENAE,Hen,Black&White,259318900.0,Gen2,Something To Believe In,259318900.0,AI,734213689.0,789856705.0
19758,ANISSA,Hen,Black&White,4027994.0,Gen2,Lady Writer,4027994.0,CONSUELO,783212318.0,70708035.0
718,MICHAELE,Hen,Black&White,542551293.0,Gen2,In the Air Tonight,542551293.0,LOLITA,744877899.0,762431730.0
20013,SHANTAY,Hen,Black&White,803466073.0,Gen2,Well All Right,803466073.0,CONSUELO,783212318.0,870351723.0
17621,HOLLEY,Hen,Black&White,747805439.0,Gen2,Run Like Hell,747805439.0,DELIA,409344934.0,119329546.0
1175,CATHY,Hen,Black&White,265673758.0,Gen2,When The Levee Breaks,265673758.0,SHAROLYN,59922539.0,509012901.0
7747,JUSTIN,Hen,Black&White,635516242.0,Gen2,Magic Bus,635516242.0,BARBIE,238196972.0,518692123.0
3444,ROSALYN,Hen,Black&White,709713931.0,Gen2,It Can Happen,709713931.0,HELLEN,905132962.0,216432846.0
21887,MAIRE,Hen,Black&White,164128632.0,Gen2,Headkeeper,164128632.0,CATARINA,468233022.0,650882381.0
14195,ANGELINA,Hen,Black&White,773505951.0,Gen2,In Bloom,773505951.0,OCTAVIA,170093498.0,141566545.0
18702,CORALIE,Hen,Black&White,896984051.0,Gen2,Southbound,896984051.0,ILIANA,598175413.0,473017162.0
1876,MARRY,Hen,Black&White,336657633.0,Gen2,19th Nervous Breakdown,336657633.0,RUFINA,34072451.0,200097845.0
15632,EUGENIA,Hen,Black&White,191885187.0,Gen2,Goodbye Blue Sky,191885187.0,KARMA,899514543.0,443353346.0
1399,DORA,Hen,Black&White,113341725.0,Gen2,Horizontal Bop,113341725.0,SHAROLYN,59922539.0,536339090.0
15401,DIEDRA,Hen,Black&White,292698365.0,Gen2,That's All,292698365.0,KARMA,899514543.0,690515072.0
160,RAGUEL,Hen,Black&White,98894487.0,Gen2,Highway Star,98894487.0,GWENN,884986770.0,787976750.0
5900,DELORA,Hen,Black&White,465414422.0,Gen2,Can't You Hear Me Knocking,465414422.0,ALEXANDRA,102582398.0,171198057.0
13121,CHASIDY,Hen,Black&White,501896626.0,Gen2,Something To Believe In,501896626.0,ALAYNA,687466224.0,536339090.0
7491,TANISHA,Hen,Black&White,468035672.0,Gen2,"Train, Train",468035672.0,ZORAIDA,830718116.0,409300483.0
1321,ESTELLA,Hen,Black&White,32940298.0,Gen2,No Time,32940298.0,SHAROLYN,59922539.0,216432846.0
4765,EVELINE,Hen,Black&White,747964103.0,Gen2,Bennie And The Jets,747964103.0,RANA,923804214.0,870351723.0
48,CAROLA,Hen,Black&White,160748929.0,Gen2,Threshold/Jet Airliner,160748929.0,GWENN,884986770.0,200097845.0
17178,GENOVEVA,Hen,Black&White,101806937.0,Gen2,I Love Rock 'n Roll,101806937.0,AKILAH,527948599.0,102634120.0
21524,QUYEN,Hen,Black&White,594136493.0,Gen2,Blurry,594136493.0,KANISHA,1363281.0,650882381.0
13285,IDELLA,Hen,Black&White,716672233.0,Gen2,Fly,716672233.0,ALAYNA,687466224.0,30363405.0
11007,BARBERA,Hen,Black&White,400595147.0,Gen2,By the Way,400595147.0,ROXANNA,224031150.0,890606190.0
11959,DORTHY,Hen,Black&White,631704795.0,Gen2,Down On the Corner,631704795.0,AKILAH,135192679.0,409300483.0
15565,HILMA,Hen,Black&White,356918096.0,Gen2,Sad But True,356918096.0,KARMA,899514543.0,536339090.0
6125,RETHA,Hen,Black&White,940447723.0,Gen2,30 Days In the Hole,940447723.0,ALEXANDRA,102582398.0,521167154.0
14242,CHELSEA,Hen,Black&White,837690410.0,Gen2,Old Man,837690410.0,OCTAVIA,170093498.0,955524027.0
5582,ANISHA,Hen,Black&White,621083224.0,Gen2,To Hell With the Devil,621083224.0,ALINA,148946432.0,933690821.0
11152,YER,Hen,Black&White,386712799.0,Gen2,Ticket to Ride,386712799.0,ROXANNA,224031150.0,521167154.0
16440,NEOMI,Hen,Black&White,779996562.0,Gen2,Keep Yourself Alive,779996562.0,TOWANDA,447173430.0,890606190.0
12486,TOSHA,Hen,Black&White,220745777.0,Gen2,I Know a Little,220745777.0,BARBRA,832570811.0,216432846.0
9174,CORIE,Hen,Black&White,989354722.0,Gen2,Mrs. Robinson,989354722.0,SHARLENE,249446444.0,518692123.0
16848,TOMOKO,Hen,Black&White,343139275.0,Gen2,Love Song,343139275.0,AKILAH,527948599.0,34072451.0
23141,EFFIE,Hen,Black&White,831816232.0,Gen2,Had a Dream (Sleeping With the Enemy),831816232.0,JANETTE,428335380.0,542838249.0
23008,KATRINA,Hen,Black&White,435547234.0,Gen2,Takin' It To The Streets,435547234.0,MARYAM,683759644.0,70708035.0
5527,DOMINIQUE,Hen,Black&White,990330403.0,Gen2,Eleanor Rigby,990330403.0,ALINA,148946432.0,34072451.0
13891,ESTELA,Hen,Black&White,620663274.0,Gen2,Mony Mony,620663274.0,SALLIE,763377021.0,866881069.0
16216,DIAN,Hen,Black&White,567529931.0,Gen2,Immigrant Song,567529931.0,MARLEEN,621081892.0,773595312.0
12909,MELLISSA,Hen,Black&White,420419378.0,Gen2,Black Coffee In Bed,420419378.0,BARBRA,832570811.0,457028849.0
19969,MARDELL,Hen,Black&White,409723790.0,Gen2,The Spirit of Radio,409723790.0,CONSUELO,783212318.0,763066813.0
18386,EDWINA,Hen,Black&White,768187955.0,Gen2,How Long,768187955.0,JOSIE,379535793.0,628855526.0
14363,CASSY,Hen,Black&White,879794206.0,Gen2,Powderfinger,879794206.0,OCTAVIA,170093498.0,280225309.0
22625,MINERVA,Hen,Black&White,564424963.0,Gen2,Freeze-frame,564424963.0,MARYAM,683759644.0,70708035.0
21086,KRISTAL,Hen,Black&White,964243188.0,Gen2,A Face In The Crowd,964243188.0,ELLY,986027613.0,30363405.0
5544,REYNA,Hen,Black&White,338478134.0,Gen2,Simple Man,338478134.0,ALINA,148946432.0,521167154.0
5577,CRISTEN,Hen,Black&White,494315.0,Gen2,The Midnight Special,494315.0,ALINA,148946432.0,955524027.0
11967,HALLIE,Hen,Black&White,161495576.0,Gen2,Oh Sherrie,161495576.0,HWA,565418959.0,167740021.0
18763,ETTA,Hen,Black&White,722222128.0,Gen2,I've Got A Feeling,722222128.0,ILIANA,598175413.0,443353346.0
9618,MODESTA,Hen,Black&White,771771171.0,Gen2,December,771771171.0,CLARINE,824725538.0,334058719.0
15112,SHERRY,Hen,Black&White,746821299.0,Gen2,Tarkio Road,746821299.0,AI,734213689.0,628855526.0
16871,ROZELLA,Hen,Black&White,977189628.0,Gen2,Runnin' Down a Dream,977189628.0,AKILAH,527948599.0,763066813.0
15599,LAQUITA,Hen,Black&White,196529028.0,Gen2,A Life Of Illusion,196529028.0,KARMA,899514543.0,334058719.0
12954,TYLER,Hen,Black&White,659696249.0,Gen2,Juke Box Hero,659696249.0,ALAYNA,687466224.0,763066813.0
6562,SIRENA,Hen,Black&White,138940015.0,Gen2,JOHNNY B. GOODE,138940015.0,JONELL,461131488.0,890606190.0
19461,FANNY,Hen,Black&White,622442413.0,Gen2,Piece of Your Action,622442413.0,BRANDON,462413816.0,849068796.0
10077,DYAN,Hen,Black&White,506065363.0,Gen2,Drift Away,506065363.0,CLARINE,824725538.0,314063231.0
20230,AMI,Hen,Black&White,345485739.0,Gen2,Horizontal Bop,345485739.0,ETHYL,45863615.0,14586865.0
19114,BERNADETTE,Hen,Black&White,708037817.0,Gen2,Life's Been Good,708037817.0,ILIANA,598175413.0,542838249.0
16167,ELADIA,Hen,Black&White,746960350.0,Gen2,City of the Angels,746960350.0,MARLEEN,621081892.0,854600776.0
20780,CINDERELLA,Hen,Black&White,968461871.0,Gen2,Invisible Sun,968461871.0,ELLY,986027613.0,650882381.0
1297,ROSETTE,Hen,Black&White,514127684.0,Gen2,Seasons of Wither,514127684.0,SHAROLYN,59922539.0,200097845.0
7223,MAXINE,Hen,Black&White,763706591.0,Gen2,California Girls,763706591.0,ZORAIDA,830718116.0,457028849.0
13351,EDDA,Hen,Black&White,566775201.0,Gen2,"Always With Me, Always With You",566775201.0,ALAYNA,687466224.0,553394192.0
2734,SEPTEMBER,Hen,Black&White,85380006.0,Gen2,Spooky,85380006.0,DEANE,327145316.0,409300483.0
14824,RENEA,Hen,Black&White,867254075.0,Gen2,Dog Eat Dog,867254075.0,RUBIE,733533272.0,473017162.0
11100,ANNETTE,Hen,Black&White,389554070.0,Gen2,Spirit In The Night,389554070.0,ROXANNA,224031150.0,849068796.0
2419,TIESHA,Hen,Black&White,980291115.0,Gen2,Don't Go Away Mad (Just Go Away),980291115.0,FERMINA,997044851.0,167740021.0
10618,GINETTE,Hen,Black&White,454464092.0,Gen2,Empty Pages,454464092.0,YANG,729890819.0,457028849.0
12649,CAMI,Hen,Black&White,317857085.0,Gen2,American Dream Plan B,317857085.0,BARBRA,832570811.0,933690821.0
22538,RISA,Hen,Black&White,881417178.0,Gen2,Hello Goodbye,881417178.0,GRETCHEN,605672782.0,216432846.0
10168,VALERY,Hen,Black&White,940805064.0,Gen2,WAITIN' FOR THE BUS/JESUS JUST LEFT CHICAGO,940805064.0,JOHANA,919605639.0,119329546.0
6694,ALI,Hen,Black&White,568807301.0,Gen2,Jailbreak,568807301.0,JONELL,461131488.0,287055622.0
20065,LOYCE,Hen,Black&White,259964409.0,Gen2,Reelin' in the Years,259964409.0,CONSUELO,783212318.0,857956630.0
13391,SHARMAINE,Hen,Black&White,270375157.0,Gen2,On a Plain,270375157.0,ALAYNA,687466224.0,171198057.0
16457,CHIA,Hen,Black&White,106852316.0,Gen2,Threshold/Jet Airliner,106852316.0,TOWANDA,447173430.0,70708035.0
14339,LOVE,Hen,Black&White,844009143.0,Gen2,Shout at the Devil,844009143.0,OCTAVIA,170093498.0,509012901.0
950,MARYANNE,Hen,Black&White,872013248.0,Gen2,I Can't Quit You Baby,872013248.0,LOLITA,744877899.0,823242036.0
6594,INGER,Hen,Black&White,115020756.0,Gen2,Loser,115020756.0,JONELL,461131488.0,287055622.0
5965,RACHAL,Hen,Black&White,582700322.0,Gen2,Someday (Single Mix),582700322.0,ALEXANDRA,102582398.0,690515072.0
2417,TAMMI,Hen,Black&White,767363632.0,Gen2,I've Just Seen A Face,767363632.0,FERMINA,997044851.0,409300483.0
22012,KRYSTLE,Hen,Black&White,786471870.0,Gen2,Da Da Doo Ron Ron,786471870.0,CATARINA,468233022.0,216432846.0
4555,EBONIE,Hen,Black&White,660391346.0,Gen2,Eruption - You Really Got Me,660391346.0,RANA,923804214.0,767163035.0
21565,GLORIA,Hen,Black&White,225911866.0,Gen2,Another One Bites the Dust,225911866.0,KANISHA,1363281.0,509012901.0
18466,ARACELIS,Hen,Black&White,860925794.0,Gen2,45,860925794.0,JOSIE,379535793.0,857956630.0
175,JULIA,Hen,Black&White,902532966.0,Gen2,Best Of Both Worlds,902532966.0,GWENN,884986770.0,536339090.0
1161,MELISSA,Hen,Black&White,635628062.0,Gen2,IT WON'T BE LONG,635628062.0,SHAROLYN,59922539.0,849068796.0
4418,HILARIA,Hen,Black&White,601952216.0,Gen2,TWO OUT OF THREE AIN'T BAD,601952216.0,RANA,923804214.0,857956630.0
9549,PURA,Hen,Black&White,427487830.0,Gen2,Presence of the Lord,427487830.0,SHARLENE,249446444.0,866881069.0
12112,LAVADA,Hen,Black&White,528657354.0,Gen2,Come Together,528657354.0,HWA,565418959.0,800981516.0
21944,MELANIA,Hen,Black&White,420033010.0,Gen2,Back Off Boogaloo,420033010.0,CATARINA,468233022.0,955524027.0
20924,CATHEY,Hen,Black&White,574657901.0,Gen2,Come Dancing,574657901.0,ELLY,986027613.0,773595312.0
9349,LESSIE,Hen,Black&White,337250763.0,Gen2,Golden Slumbers,337250763.0,SHARLENE,249446444.0,314063231.0
20268,LOUIS,Hen,Black&White,851828996.0,Gen2,Take Me to the Pilot,851828996.0,ETHYL,45863615.0,628855526.0
22252,ALTHEA,Hen,Black&White,68105935.0,Gen2,Panic in Detroit,68105935.0,GRETCHEN,605672782.0,200097845.0
15185,JODEE,Hen,Black&White,841854364.0,Gen2,Changes,841854364.0,AI,734213689.0,879147425.0
15700,ZELDA,Hen,Black&White,931898137.0,Gen2,Signs,931898137.0,KARMA,899514543.0,618028080.0
23341,SOPHIE,Hen,Black&White,461159300.0,Gen2,Love Is Alive,461159300.0,JANETTE,428335380.0,767163035.0
20663,ELSA,Hen,Black&White,815635965.0,Gen2,Pink Houses,815635965.0,ELLY,986027613.0,767163035.0
7196,MARYLN,Hen,Black&White,535793390.0,Gen2,Something In the Air,535793390.0,ZORAIDA,830718116.0,890606190.0
18011,VICKI,Hen,Black&White,148742325.0,Gen2,Voodoo Child (Slight Return),148742325.0,STEPHANIE,162244863.0,280225309.0
1171,PHOEBE,Hen,Black&White,896305397.0,Gen2,Where To Now St. Peter,896305397.0,SHAROLYN,59922539.0,690515072.0
6852,GARNET,Hen,Black&White,14940415.0,Gen2,Dumb,14940415.0,PENELOPE,525986311.0,967323615.0
21339,JENI,Hen,Black&White,54015001.0,Gen2,Eye of the Tiger,54015001.0,KANISHA,1363281.0,536339090.0
3201,JULIANNA,Hen,Black&White,535696868.0,Gen2,Stop Draggin' My Heart Around,535696868.0,MALORIE,423258457.0,70708035.0
2975,TERRESA,Hen,Black&White,742901110.0,Gen2,The Crystal Ship,742901110.0,MALORIE,423258457.0,34072451.0
13226,SIRENA,Hen,Black&White,708882170.0,Gen2,Livin' On the Fault Line,708882170.0,ALAYNA,687466224.0,955524027.0
19248,SHELLY,Hen,Black&White,625305332.0,Gen2,The Old Man Down The Road,625305332.0,BRANDON,462413816.0,34072451.0
20796,ELOISA,Hen,Black&White,163863830.0,Gen2,Driven to Tears,163863830.0,ELLY,986027613.0,472295211.0
19060,KYRA,Hen,Black&White,328667727.0,Gen2,Epic,328667727.0,ILIANA,598175413.0,553394192.0
21353,REFUGIO,Hen,Black&White,170033463.0,Gen2,Hold The Line,170033463.0,KANISHA,1363281.0,955524027.0
1811,CALISTA,Hen,Black&White,232396074.0,Gen2,Wherever I May Roam,232396074.0,RUFINA,34072451.0,849068796.0
20090,SHIRLENE,Hen,Black&White,979505745.0,Gen2,Runnin' Down a Dream,979505745.0,CONSUELO,783212318.0,542838249.0
21849,NATASHA,Hen,Black&White,516069554.0,Gen2,Bullet With Butterfly Wings,516069554.0,CATARINA,468233022.0,955524027.0
6718,KITTY,Hen,Black&White,597887516.0,Gen2,Redneck Friend,597887516.0,JONELL,461131488.0,650882381.0
2701,LASANDRA,Hen,Black&White,241996157.0,Gen2,On The Turning Away,241996157.0,DEANE,327145316.0,890606190.0
3468,CATHEY,Hen,Black&White,414853793.0,Gen2,Friday on My Mind,414853793.0,HELLEN,905132962.0,553394192.0
13927,LYN,Hen,Black&White,393757531.0,Gen2,Signs,393757531.0,OCTAVIA,170093498.0,862253912.0
10456,TAMIE,Hen,Black&White,418649785.0,Gen2,THE LAST TIME,418649785.0,JOHANA,919605639.0,167740021.0
11208,SALINA,Hen,Black&White,818112751.0,Gen2,Breakdown,818112751.0,ROXANNA,224031150.0,521167154.0
12772,ARLYNE,Hen,Black&White,480639687.0,Gen2,Houseparty,480639687.0,BARBRA,832570811.0,521167154.0
7003,PARTICIA,Hen,Black&White,466332848.0,Gen2,Feeling That Way,466332848.0,PENELOPE,525986311.0,102634120.0
19155,TERESE,Hen,Black&White,248209690.0,Gen2,Since You're Gone,248209690.0,BRANDON,462413816.0,30363405.0
10459,MORA,Hen,Black&White,644955839.0,Gen2,Hello Goodbye,644955839.0,JOHANA,919605639.0,628855526.0
